LocationName,Category,Latitude,Longitude,PartOf
Vaduz,Capital,9.516667,47.13333333,Liechtenstein
Valletta,Capital,14.5,35.88333333,Malta
Vanuatu,Country,168.316667,-17.73333333,Australia
Vatican,Country,12.45,41.9,Europe
Vatican City,Capital,12.45,41.9,Vatican City
Venezuela,Country,-66.866667,10.48333333,South America
Venice,Capital,12.3155151,45.4408474,Italy
Victoria,Capital,55.45,-4.616666667,Seychelles
Vienna,Capital,16.366667,48.2,Austria
Vientiane,Capital,102.6,17.96666667,Laos
Vietnam,Country,105.85,21.03333333,Asia
Vilnius,Capital,25.316667,54.68333333,Lithuania
Wallis and Futuna,Country,-171.933333,-13.95,Australia
Warsaw,Capital,21,52.25,Poland
Washington,Capital,-77,38.883333,United States
Wellington,Capital,174.783333,-41.3,New Zealand
West Island,Capital,96.833333,-12.16666667,Cocos Islands
Western Sahara,Country,-13.203333,27.153611,Africa
Wiesbaden,Capital,8.2397608,50.0782184,Germany
Willemstad,Capital,-68.916667,12.1,Cura̤ao
